gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,total_score,average_score
female,group C,some college,standard,none,54,48,52,154,30.8
female,group D,some college,free/reduced,completed,59,78,76,213,42.6
female,group B,some high school,standard,none,66,69,68,203,40.6
male,group E,some college,standard,none,76,71,72,219,43.8
female,group D,master's degree,standard,none,74,79,82,235,47.0
female,group B,associate's degree,standard,completed,94,87,92,273,54.6
male,group C,some college,free/reduced,none,63,61,54,178,35.6
female,group E,associate's degree,standard,completed,95,89,92,276,55.2
female,group D,master's degree,free/reduced,none,40,59,54,153,30.6
female,group B,some high school,standard,none,82,82,80,244,48.8
male,group A,high school,standard,none,68,70,66,204,40.8
male,group B,bachelor's degree,free/reduced,none,55,59,54,168,33.6
male,group C,master's degree,standard,none,79,78,77,234,46.8
female,group C,bachelor's degree,standard,none,86,92,87,265,53.0
male,group D,some college,standard,none,76,71,73,220,44.0
male,group A,some high school,standard,none,64,50,43,157,31.4
male,group D,some high school,free/reduced,none,62,49,52,163,32.6
female,group B,some high school,standard,completed,54,61,62,177,35.4
female,group B,master's degree,free/reduced,completed,77,97,94,268,53.6
female,group C,some high school,standard,completed,76,87,85,248,49.6
female,group D,some college,standard,none,74,89,84,247,49.4
female,group E,some college,standard,completed,66,74,73,213,42.6
female,group D,some high school,standard,completed,66,78,78,222,44.4
female,group B,high school,free/reduced,completed,67,78,79,224,44.8
male,group D,some college,standard,none,71,49,52,172,34.4
female,group C,associate's degree,standard,none,91,86,84,261,52.2
male,group D,bachelor's degree,standard,none,69,58,57,184,36.8
male,group C,master's degree,free/reduced,none,54,59,50,163,32.6
male,group C,high school,standard,completed,53,52,49,154,30.8
male,group E,some college,standard,none,68,60,59,187,37.4
male,group C,some high school,free/reduced,completed,56,61,60,177,35.4
female,group C,high school,free/reduced,none,36,53,43,132,26.4
female,group D,bachelor's degree,free/reduced,none,29,41,47,117,23.4
female,group C,associate's degree,standard,none,62,74,70,206,41.2
female,group C,associate's degree,standard,completed,68,67,73,208,41.6
female,group C,some high school,standard,none,47,54,53,154,30.8
male,group E,associate's degree,standard,completed,62,61,58,181,36.2
female,group E,associate's degree,standard,completed,79,88,94,261,52.2
male,group B,high school,standard,completed,73,69,68,210,42.0
female,group C,bachelor's degree,free/reduced,completed,66,83,83,232,46.4
male,group C,associate's degree,standard,completed,51,60,58,169,33.8
female,group D,high school,standard,none,51,66,62,179,35.8
male,group E,bachelor's degree,standard,completed,85,66,71,222,44.4
male,group A,associate's degree,standard,completed,97,92,86,275,55.0
male,group C,high school,standard,completed,75,69,68,212,42.4
male,group D,associate's degree,free/reduced,completed,79,82,80,241,48.2
female,group C,associate's degree,standard,none,81,77,79,237,47.4
female,group D,associate's degree,standard,none,82,95,89,266,53.2
female,group D,master's degree,standard,none,64,63,66,193,38.6
male,group E,some high school,free/reduced,completed,78,83,80,241,48.2
female,group A,some high school,standard,completed,92,100,97,289,57.8
male,group C,high school,standard,completed,72,67,64,203,40.6
female,group C,high school,free/reduced,none,62,67,64,193,38.6
male,group C,master's degree,standard,none,79,72,69,220,44.0
male,group C,some high school,free/reduced,none,79,76,65,220,44.0
male,group B,bachelor's degree,free/reduced,completed,87,90,88,265,53.0
female,group B,associate's degree,standard,none,40,48,50,138,27.6
male,group D,some college,free/reduced,none,77,62,64,203,40.6
male,group E,associate's degree,standard,none,53,45,40,138,27.6
female,group C,some college,free/reduced,none,32,39,33,104,20.8
female,group C,associate's degree,standard,completed,55,72,79,206,41.2
male,group C,master's degree,free/reduced,none,61,67,66,194,38.8
female,group B,associate's degree,free/reduced,none,53,70,70,193,38.6
male,group D,some high school,standard,none,73,66,62,201,40.2
female,group D,some college,standard,completed,74,75,79,228,45.6
female,group C,some college,standard,none,63,74,74,211,42.2
male,group C,bachelor's degree,standard,completed,96,90,92,278,55.6
female,group D,some college,free/reduced,completed,63,80,80,223,44.6
male,group B,bachelor's degree,free/reduced,none,48,51,46,145,29.0
male,group B,associate's degree,standard,none,48,43,45,136,27.2
female,group E,bachelor's degree,free/reduced,completed,92,100,100,292,58.4
female,group D,master's degree,free/reduced,completed,61,71,78,210,42.0
male,group B,high school,free/reduced,none,63,48,47,158,31.6
male,group D,bachelor's degree,free/reduced,none,68,68,67,203,40.6
male,group B,some college,standard,completed,71,75,70,216,43.2
male,group A,bachelor's degree,standard,none,91,96,92,279,55.8
female,group C,some college,standard,none,53,62,56,171,34.2
female,group C,high school,free/reduced,completed,50,66,64,180,36.0
female,group E,high school,standard,none,74,81,71,226,45.2
male,group A,associate's degree,free/reduced,completed,40,55,53,148,29.6
male,group A,some college,standard,completed,61,51,52,164,32.8
female,group B,high school,standard,none,81,91,89,261,52.2
female,group B,some college,free/reduced,completed,48,56,58,162,32.4
female,group D,master's degree,standard,none,53,61,68,182,36.4
female,group D,some high school,standard,none,81,97,96,274,54.8
female,group E,some high school,standard,none,77,79,80,236,47.2
female,group D,bachelor's degree,free/reduced,none,63,73,78,214,42.8
female,group D,associate's degree,standard,completed,73,75,80,228,45.6
female,group D,some college,standard,none,69,77,77,223,44.6
female,group C,associate's degree,standard,none,65,76,76,217,43.4
female,group A,high school,standard,none,55,73,73,201,40.2
female,group C,bachelor's degree,free/reduced,none,44,63,62,169,33.8
female,group C,some college,standard,none,54,64,65,183,36.6
female,group A,some high school,standard,none,48,66,65,179,35.8
male,group C,some college,free/reduced,none,58,57,54,169,33.8
male,group A,some high school,standard,none,71,62,50,183,36.6
male,group E,bachelor's degree,standard,none,68,68,64,200,40.0
female,group E,high school,standard,none,74,76,73,223,44.6
female,group C,bachelor's degree,standard,completed,92,100,99,291,58.2
female,group C,bachelor's degree,standard,completed,56,79,72,207,41.4
male,group B,high school,free/reduced,none,30,24,15,69,13.8
male,group A,some high school,standard,none,53,54,48,155,31.0
female,group D,high school,standard,none,69,77,73,219,43.8
female,group D,some high school,standard,none,65,82,81,228,45.6
female,group D,master's degree,standard,none,54,60,63,177,35.4
female,group C,high school,standard,none,29,29,30,88,17.6
female,group E,some college,standard,none,76,78,80,234,46.8
male,group D,high school,free/reduced,none,60,57,51,168,33.6
male,group D,master's degree,free/reduced,completed,84,89,90,263,52.6
male,group C,some high school,standard,none,75,72,62,209,41.8
female,group C,associate's degree,standard,none,85,84,82,251,50.2
female,group C,master's degree,free/reduced,none,40,58,54,152,30.4
female,group E,some college,standard,none,61,64,62,187,37.4
female,group B,associate's degree,standard,none,58,63,65,186,37.2
male,group D,some college,free/reduced,completed,69,60,63,192,38.4
female,group C,some college,standard,none,58,59,66,183,36.6
male,group C,bachelor's degree,standard,completed,94,90,91,275,55.0
female,group C,associate's degree,standard,none,65,77,74,216,43.2
female,group A,associate's degree,standard,none,82,93,93,268,53.6
female,group C,high school,standard,none,60,68,72,200,40.0
female,group E,bachelor's degree,standard,none,37,45,38,120,24.0
male,group D,bachelor's degree,standard,none,88,78,83,249,49.8
male,group D,master's degree,standard,none,95,81,84,260,52.0
male,group C,associate's degree,free/reduced,completed,65,73,68,206,41.2
female,group C,high school,free/reduced,none,35,61,54,150,30.0
male,group B,bachelor's degree,free/reduced,none,62,63,56,181,36.2
male,group C,high school,free/reduced,completed,58,51,52,161,32.2
male,group A,some college,standard,completed,100,96,86,282,56.4
female,group E,bachelor's degree,free/reduced,none,61,58,62,181,36.2
male,group D,some college,standard,completed,100,97,99,296,59.2
male,group B,associate's degree,free/reduced,completed,69,70,63,202,40.4
male,group D,associate's degree,standard,none,61,48,46,155,31.0
male,group D,some college,free/reduced,none,49,57,46,152,30.4
female,group C,some high school,standard,completed,44,51,55,150,30.0
male,group D,some college,standard,none,67,64,70,201,40.2
male,group B,high school,standard,none,79,60,65,204,40.8
female,group B,bachelor's degree,standard,completed,66,74,81,221,44.2
female,group C,high school,standard,none,75,88,85,248,49.6
male,group D,some high school,standard,none,84,84,80,248,49.6
male,group A,high school,standard,none,71,74,64,209,41.8
female,group B,high school,free/reduced,completed,67,80,81,228,45.6
female,group D,some high school,standard,completed,80,92,88,260,52.0
male,group E,some college,standard,none,86,76,74,236,47.2
female,group D,associate's degree,standard,none,76,74,73,223,44.6
male,group D,high school,standard,none,41,52,51,144,28.8
female,group D,associate's degree,free/reduced,completed,74,88,90,252,50.4
female,group B,some high school,free/reduced,none,72,81,79,232,46.4
female,group E,high school,standard,completed,74,79,80,233,46.6
male,group B,high school,standard,none,70,65,60,195,39.0
female,group B,bachelor's degree,standard,completed,65,81,81,227,45.4
female,group D,associate's degree,standard,none,59,70,65,194,38.8
female,group E,high school,free/reduced,none,64,62,68,194,38.8
female,group B,high school,standard,none,50,53,55,158,31.6
female,group D,some college,standard,completed,69,79,81,229,45.8
male,group C,some high school,free/reduced,completed,51,56,53,160,32.0
female,group A,high school,standard,completed,68,80,76,224,44.8
female,group D,some college,standard,completed,85,86,98,269,53.8
female,group A,associate's degree,standard,completed,65,70,74,209,41.8
female,group B,some high school,standard,none,73,79,79,231,46.2
female,group B,some college,standard,none,62,67,67,196,39.2
male,group C,associate's degree,free/reduced,none,77,67,64,208,41.6
male,group D,some high school,standard,none,69,66,61,196,39.2
female,group D,associate's degree,free/reduced,none,43,60,58,161,32.2
male,group D,associate's degree,standard,none,90,87,85,262,52.4
male,group C,some college,free/reduced,none,74,77,73,224,44.8
male,group C,some high school,standard,none,73,66,63,202,40.4
female,group D,some college,free/reduced,none,55,71,69,195,39.0
female,group C,high school,standard,none,65,69,67,201,40.2
male,group D,associate's degree,standard,none,80,63,63,206,41.2
female,group C,some high school,free/reduced,completed,50,60,60,170,34.0
female,group C,some college,free/reduced,completed,63,73,71,207,41.4
female,group B,bachelor's degree,free/reduced,none,77,85,87,249,49.8
male,group C,some college,standard,none,73,74,61,208,41.6
male,group D,associate's degree,standard,completed,81,72,77,230,46.0
female,group C,high school,free/reduced,none,66,76,68,210,42.0
male,group D,associate's degree,free/reduced,none,52,57,50,159,31.8
female,group C,some college,standard,none,69,78,76,223,44.6
female,group C,associate's degree,standard,completed,65,84,84,233,46.6
female,group D,high school,standard,completed,69,77,78,224,44.8
female,group B,some college,standard,completed,50,64,66,180,36.0
female,group E,some college,standard,completed,73,78,76,227,45.4
female,group C,some high school,standard,completed,70,82,76,228,45.6
male,group D,associate's degree,free/reduced,none,81,75,78,234,46.8
male,group D,some college,free/reduced,none,63,61,60,184,36.8
female,group D,high school,standard,none,67,72,74,213,42.6
male,group B,high school,standard,none,60,68,60,188,37.6
male,group B,high school,standard,none,62,55,54,171,34.2
female,group C,some high school,free/reduced,completed,29,40,44,113,22.6
male,group B,some college,standard,completed,62,66,68,196,39.2
female,group E,master's degree,standard,completed,94,99,100,293,58.6
male,group E,some college,standard,completed,85,75,68,228,45.6
male,group D,associate's degree,free/reduced,none,77,78,73,228,45.6
male,group A,high school,free/reduced,none,53,58,44,155,31.0
male,group E,some college,free/reduced,none,93,90,83,266,53.2
female,group C,associate's degree,standard,none,49,53,53,155,31.0
female,group E,associate's degree,free/reduced,none,73,76,78,227,45.4
female,group C,bachelor's degree,free/reduced,completed,66,74,81,221,44.2
female,group D,associate's degree,standard,none,77,77,73,227,45.4
female,group C,some high school,standard,none,49,63,56,168,33.6
female,group D,some college,free/reduced,none,79,89,86,254,50.8
female,group C,associate's degree,standard,completed,75,82,90,247,49.4
female,group A,bachelor's degree,standard,none,59,72,70,201,40.2
female,group D,associate's degree,standard,completed,57,78,79,214,42.8
male,group C,high school,free/reduced,none,66,66,59,191,38.2
female,group E,bachelor's degree,standard,completed,79,81,82,242,48.4
female,group B,some high school,standard,none,57,67,72,196,39.2
male,group A,bachelor's degree,standard,completed,87,84,87,258,51.6
female,group D,some college,standard,none,63,64,67,194,38.8
female,group B,some high school,free/reduced,completed,59,63,64,186,37.2
male,group A,bachelor's degree,free/reduced,none,62,72,65,199,39.8
male,group D,high school,standard,none,46,34,36,116,23.2
male,group C,some college,standard,none,66,59,52,177,35.4
male,group D,high school,standard,none,89,87,79,255,51.0
female,group D,associate's degree,free/reduced,completed,42,61,58,161,32.2
male,group C,some college,standard,completed,93,84,90,267,53.4
female,group E,some high school,standard,completed,80,85,85,250,50.0
female,group D,some college,standard,none,98,100,99,297,59.4
male,group D,master's degree,standard,none,81,81,84,246,49.2
female,group B,some high school,standard,completed,60,70,74,204,40.8
female,group B,associate's degree,free/reduced,completed,76,94,87,257,51.4
male,group C,associate's degree,standard,completed,73,78,72,223,44.6
female,group C,associate's degree,standard,completed,96,96,99,291,58.2
female,group C,high school,standard,none,76,76,74,226,45.2
male,group E,associate's degree,free/reduced,completed,91,73,80,244,48.8
female,group C,some college,free/reduced,none,62,72,70,204,40.8
male,group D,some high school,free/reduced,completed,55,59,59,173,34.6
female,group B,some high school,free/reduced,completed,74,90,88,252,50.4
male,group C,high school,standard,none,50,48,42,140,28.0
male,group B,some college,standard,none,47,43,41,131,26.2
male,group E,some college,standard,completed,81,74,71,226,45.2
female,group E,associate's degree,standard,completed,65,75,77,217,43.4
male,group E,some high school,standard,completed,68,51,57,176,35.2
female,group D,high school,free/reduced,none,73,92,84,249,49.8
male,group C,some college,standard,none,53,39,37,129,25.8
female,group B,associate's degree,free/reduced,completed,68,77,80,225,45.0
male,group A,some high school,free/reduced,none,55,46,43,144,28.8
female,group C,some college,standard,completed,87,89,94,270,54.0
male,group D,some high school,standard,none,55,47,44,146,29.2
female,group E,some college,free/reduced,none,53,58,57,168,33.6
male,group C,master's degree,standard,none,67,57,59,183,36.6
male,group C,associate's degree,standard,none,92,79,84,255,51.0
female,group B,some college,free/reduced,completed,53,66,73,192,38.4
male,group D,associate's degree,standard,none,81,71,73,225,45.0
male,group C,high school,free/reduced,none,61,60,55,176,35.2
male,group D,bachelor's degree,standard,none,80,73,72,225,45.0
female,group A,associate's degree,free/reduced,none,37,57,56,150,30.0
female,group C,high school,standard,none,81,84,82,247,49.4
female,group C,associate's degree,standard,completed,59,73,72,204,40.8
male,group B,some college,free/reduced,none,55,55,47,157,31.4
male,group D,associate's degree,standard,none,72,79,74,225,45.0
male,group D,high school,standard,none,69,75,71,215,43.0
male,group C,some college,standard,none,69,64,68,201,40.2
female,group C,bachelor's degree,free/reduced,none,50,60,59,169,33.8
male,group B,some college,standard,completed,87,84,86,257,51.4
male,group D,some high school,standard,completed,71,69,68,208,41.6
male,group E,some college,standard,none,68,72,65,205,41.0
male,group C,master's degree,free/reduced,completed,79,77,75,231,46.2
female,group C,some high school,standard,completed,77,90,85,252,50.4
male,group C,associate's degree,free/reduced,none,58,55,53,166,33.2
female,group E,associate's degree,standard,none,84,95,92,271,54.2
male,group D,some college,standard,none,55,58,52,165,33.0
male,group E,bachelor's degree,free/reduced,completed,70,68,72,210,42.0
female,group D,some college,free/reduced,completed,52,59,65,176,35.2
male,group B,some college,standard,completed,69,77,77,223,44.6
female,group C,high school,free/reduced,none,53,72,64,189,37.8
female,group D,some high school,standard,none,48,58,54,160,32.0
male,group D,some high school,standard,completed,78,81,86,245,49.0
female,group B,high school,standard,none,62,62,63,187,37.4
male,group D,some college,standard,none,60,63,59,182,36.4
female,group B,high school,standard,none,74,72,72,218,43.6
female,group C,high school,standard,completed,58,75,77,210,42.0
male,group B,high school,standard,completed,76,62,60,198,39.6
female,group D,some high school,standard,none,68,71,75,214,42.8
male,group A,some college,free/reduced,none,58,60,57,175,35.0
male,group B,high school,standard,none,52,48,49,149,29.8
male,group D,bachelor's degree,standard,none,75,73,74,222,44.4
female,group B,some high school,free/reduced,completed,52,67,72,191,38.2
female,group C,bachelor's degree,free/reduced,none,62,78,79,219,43.8
male,group B,some college,standard,none,66,65,60,191,38.2
female,group B,some high school,free/reduced,none,49,58,55,162,32.4
female,group B,high school,standard,none,66,72,70,208,41.6
female,group C,some college,free/reduced,none,35,44,43,122,24.4
female,group A,some college,standard,completed,72,79,82,233,46.6
male,group E,associate's degree,standard,completed,94,85,82,261,52.2
female,group D,associate's degree,free/reduced,none,46,56,57,159,31.8
female,group B,master's degree,standard,none,77,90,84,251,50.2
female,group B,high school,free/reduced,completed,76,85,82,243,48.6
female,group C,associate's degree,standard,completed,52,59,62,173,34.6
male,group C,bachelor's degree,standard,completed,91,81,79,251,50.2
female,group B,some high school,standard,completed,32,51,44,127,25.4
female,group E,some high school,free/reduced,none,72,79,77,228,45.6
female,group B,some college,standard,none,19,38,32,89,17.8
male,group C,associate's degree,free/reduced,none,68,65,61,194,38.8
female,group C,master's degree,free/reduced,none,52,65,61,178,35.6
female,group B,high school,standard,none,48,62,60,170,34.0
female,group D,some college,free/reduced,none,60,66,70,196,39.2
male,group D,high school,free/reduced,none,66,74,69,209,41.8
male,group E,some high school,standard,completed,89,84,77,250,50.0
female,group B,high school,standard,none,42,52,51,145,29.0
female,group E,associate's degree,free/reduced,completed,57,68,73,198,39.6
male,group D,high school,standard,none,70,70,70,210,42.0
female,group E,associate's degree,free/reduced,none,70,84,81,235,47.0
male,group E,some college,standard,none,69,60,54,183,36.6
female,group C,associate's degree,standard,none,52,55,57,164,32.8
male,group C,some high school,standard,completed,67,73,68,208,41.6
male,group C,some high school,standard,completed,76,80,73,229,45.8
female,group E,associate's degree,standard,none,87,94,95,276,55.2
female,group B,some college,standard,none,82,85,87,254,50.8
female,group C,some college,standard,none,73,76,78,227,45.4
male,group A,some college,free/reduced,none,75,81,74,230,46.0
female,group D,some college,free/reduced,none,64,74,75,213,42.6
female,group E,high school,free/reduced,none,41,45,40,126,25.2
male,group C,high school,standard,none,90,75,69,234,46.8
male,group B,bachelor's degree,standard,none,59,54,51,164,32.8
male,group A,some high school,standard,none,51,31,36,118,23.6
male,group A,high school,free/reduced,none,45,47,49,141,28.2
female,group C,master's degree,standard,completed,54,64,67,185,37.0
male,group E,some high school,standard,completed,87,84,76,247,49.4
female,group C,high school,standard,none,72,80,83,235,47.0
male,group B,some high school,standard,completed,94,86,87,267,53.4
female,group A,bachelor's degree,standard,none,45,59,64,168,33.6
male,group D,bachelor's degree,free/reduced,completed,61,70,76,207,41.4
female,group B,high school,free/reduced,none,60,72,68,200,40.0
female,group C,some high school,standard,none,77,91,88,256,51.2
female,group A,some high school,standard,completed,85,90,92,267,53.4
female,group D,bachelor's degree,free/reduced,none,78,90,93,261,52.2
male,group E,some college,free/reduced,completed,49,52,51,152,30.4
female,group B,high school,free/reduced,none,71,87,82,240,48.0
female,group C,some high school,free/reduced,none,48,58,52,158,31.6
male,group C,high school,standard,none,62,67,58,187,37.4
female,group C,associate's degree,free/reduced,completed,56,68,70,194,38.8
female,group C,some high school,standard,none,65,69,76,210,42.0
female,group D,some high school,free/reduced,completed,69,86,81,236,47.2
male,group B,some high school,standard,none,68,54,53,175,35.0
female,group A,some college,free/reduced,none,61,60,57,178,35.6
female,group C,bachelor's degree,free/reduced,completed,74,86,89,249,49.8
male,group A,bachelor's degree,standard,none,64,60,58,182,36.4
female,group B,high school,standard,completed,77,82,89,248,49.6
male,group B,some college,standard,none,58,50,45,153,30.6
female,group C,high school,standard,completed,60,64,74,198,39.6
male,group E,high school,standard,none,73,64,57,194,38.8
female,group A,high school,standard,completed,75,82,79,236,47.2
male,group B,associate's degree,free/reduced,completed,58,57,53,168,33.6
female,group C,associate's degree,standard,none,66,77,73,216,43.2
female,group D,high school,free/reduced,none,39,52,46,137,27.4
male,group C,some high school,standard,none,64,58,51,173,34.6
female,group B,high school,free/reduced,completed,23,44,36,103,20.6
male,group B,some college,free/reduced,completed,74,77,76,227,45.4
female,group D,some high school,free/reduced,completed,40,65,64,169,33.8
male,group E,master's degree,standard,none,90,85,84,259,51.8
male,group C,master's degree,standard,completed,91,85,85,261,52.2
male,group D,high school,standard,none,64,54,50,168,33.6
female,group C,high school,standard,none,59,72,68,199,39.8
male,group D,associate's degree,standard,none,80,75,69,224,44.8
male,group C,master's degree,standard,none,71,67,67,205,41.0
female,group A,high school,standard,none,61,68,63,192,38.4
female,group E,some college,standard,none,87,85,93,265,53.0
male,group E,some high school,standard,none,82,67,61,210,42.0
male,group C,some high school,standard,none,62,64,55,181,36.2
female,group B,bachelor's degree,standard,none,97,97,96,290,58.0
male,group B,some college,free/reduced,none,75,68,65,208,41.6
female,group C,bachelor's degree,standard,none,65,79,81,225,45.0
male,group B,high school,standard,completed,52,49,46,147,29.4
male,group C,associate's degree,free/reduced,none,87,73,72,232,46.4
female,group C,associate's degree,standard,none,53,62,53,168,33.6
female,group E,master's degree,free/reduced,none,81,86,87,254,50.8
male,group D,bachelor's degree,free/reduced,completed,39,42,38,119,23.8
female,group C,some college,standard,completed,71,71,80,222,44.4
male,group C,associate's degree,standard,none,97,93,91,281,56.2
male,group D,some college,standard,completed,82,82,88,252,50.4
male,group C,high school,free/reduced,none,59,53,52,164,32.8
male,group B,associate's degree,standard,none,61,42,41,144,28.8
male,group E,associate's degree,free/reduced,completed,78,74,72,224,44.8
male,group C,associate's degree,free/reduced,none,49,51,51,151,30.2
male,group B,high school,standard,none,59,58,47,164,32.8
female,group C,some college,standard,completed,70,72,76,218,43.6
male,group B,associate's degree,standard,completed,82,84,78,244,48.8
male,group E,associate's degree,free/reduced,none,90,90,82,262,52.4
female,group C,bachelor's degree,free/reduced,none,43,62,61,166,33.2
male,group C,some college,free/reduced,none,80,64,66,210,42.0
male,group D,some college,standard,none,81,82,84,247,49.4
male,group C,some high school,standard,none,57,61,54,172,34.4
female,group D,some high school,standard,none,59,72,80,211,42.2
female,group D,associate's degree,standard,none,64,76,74,214,42.8
male,group C,bachelor's degree,standard,completed,63,64,66,193,38.6
female,group E,bachelor's degree,standard,completed,71,70,70,211,42.2
female,group B,high school,free/reduced,none,64,73,71,208,41.6
male,group D,bachelor's degree,free/reduced,none,55,46,44,145,29.0
female,group E,associate's degree,standard,none,51,51,54,156,31.2
female,group C,associate's degree,standard,completed,62,76,80,218,43.6
female,group E,associate's degree,standard,completed,93,100,95,288,57.6
male,group C,high school,free/reduced,none,54,72,59,185,37.0
female,group D,some college,free/reduced,none,69,65,74,208,41.6
male,group D,high school,free/reduced,none,44,51,48,143,28.6
female,group E,some college,standard,completed,86,85,91,262,52.4
female,group E,associate's degree,standard,none,85,92,85,262,52.4
female,group A,master's degree,free/reduced,none,50,67,73,190,38.0
male,group D,some high school,standard,completed,88,74,75,237,47.4
female,group E,associate's degree,standard,none,59,62,69,190,38.0
female,group E,some high school,free/reduced,none,32,34,38,104,20.8
male,group B,high school,free/reduced,none,36,29,27,92,18.4
female,group B,some high school,free/reduced,completed,63,78,79,220,44.0
male,group D,associate's degree,standard,completed,67,54,63,184,36.8
female,group D,some high school,standard,completed,65,78,82,225,45.0
male,group D,master's degree,standard,none,85,84,89,258,51.6
female,group C,master's degree,standard,none,73,78,74,225,45.0
female,group A,high school,free/reduced,completed,34,48,41,123,24.6
female,group D,bachelor's degree,free/reduced,completed,93,100,100,293,58.6
female,group D,some high school,free/reduced,none,67,84,84,235,47.0
male,group D,some college,standard,none,88,77,77,242,48.4
male,group B,high school,standard,none,57,48,51,156,31.2
female,group D,some college,standard,completed,79,84,91,254,50.8
female,group C,bachelor's degree,free/reduced,none,67,75,72,214,42.8
male,group E,bachelor's degree,standard,completed,70,64,70,204,40.8
male,group D,bachelor's degree,free/reduced,none,50,42,48,140,28.0
female,group A,some college,standard,none,69,84,82,235,47.0
female,group C,bachelor's degree,standard,completed,52,61,66,179,35.8
female,group C,bachelor's degree,free/reduced,completed,47,62,66,175,35.0
female,group B,associate's degree,free/reduced,none,46,61,55,162,32.4
female,group E,some college,standard,none,68,70,66,204,40.8
male,group E,bachelor's degree,standard,completed,100,100,100,300,60.0
female,group C,high school,standard,none,44,61,52,157,31.4
female,group C,associate's degree,standard,completed,57,77,80,214,42.8
male,group B,some college,standard,completed,91,96,91,278,55.6
male,group D,high school,free/reduced,none,69,70,67,206,41.2
female,group C,high school,free/reduced,none,35,53,46,134,26.8
male,group D,high school,standard,none,72,66,66,204,40.8
female,group B,associate's degree,free/reduced,none,54,65,65,184,36.8
male,group D,high school,free/reduced,none,74,70,69,213,42.6
male,group E,some high school,standard,completed,74,64,60,198,39.6
male,group E,associate's degree,free/reduced,none,64,56,52,172,34.4
female,group D,high school,free/reduced,completed,65,61,71,197,39.4
male,group E,associate's degree,free/reduced,completed,46,43,44,133,26.6
female,group C,some high school,free/reduced,none,48,56,51,155,31.0
male,group C,some college,free/reduced,completed,67,74,70,211,42.2
male,group D,some college,free/reduced,none,62,57,62,181,36.2
male,group D,associate's degree,free/reduced,completed,61,71,73,205,41.0
male,group C,bachelor's degree,free/reduced,completed,70,75,74,219,43.8
male,group C,associate's degree,standard,completed,98,87,90,275,55.0
male,group D,some college,free/reduced,none,70,63,58,191,38.2
male,group A,associate's degree,standard,none,67,57,53,177,35.4
female,group E,high school,free/reduced,none,57,58,57,172,34.4
male,group D,some college,standard,completed,85,81,85,251,50.2
male,group D,some high school,standard,completed,77,68,69,214,42.8
male,group C,master's degree,free/reduced,completed,72,66,72,210,42.0
female,group D,master's degree,standard,none,78,91,96,265,53.0
male,group C,high school,standard,none,81,66,64,211,42.2
male,group A,some high school,free/reduced,completed,61,62,61,184,36.8
female,group B,high school,standard,none,58,68,61,187,37.4
female,group C,associate's degree,standard,none,54,61,58,173,34.6
male,group B,high school,standard,none,82,82,80,244,48.8
female,group D,some college,free/reduced,none,49,58,60,167,33.4
male,group B,some high school,free/reduced,completed,49,50,52,151,30.2
female,group E,high school,free/reduced,completed,57,75,73,205,41.0
male,group E,high school,standard,none,94,73,71,238,47.6
female,group D,some college,standard,completed,75,77,83,235,47.0
female,group E,some high school,free/reduced,none,74,74,72,220,44.0
male,group C,high school,standard,completed,58,52,54,164,32.8
female,group C,some college,standard,none,62,69,69,200,40.0
male,group E,associate's degree,standard,none,72,57,62,191,38.2
male,group C,some college,standard,none,84,87,81,252,50.4
female,group D,master's degree,standard,none,92,100,100,292,58.4
female,group D,high school,standard,none,45,63,59,167,33.4
male,group C,high school,standard,none,75,81,71,227,45.4
female,group A,some college,standard,none,56,58,64,178,35.6
female,group D,some high school,free/reduced,none,48,54,53,155,31.0
female,group E,associate's degree,standard,none,100,100,100,300,60.0
female,group C,some high school,free/reduced,completed,65,76,75,216,43.2
male,group D,some college,standard,none,72,57,58,187,37.4
female,group D,some college,standard,none,62,70,72,204,40.8
male,group A,some high school,standard,completed,66,68,64,198,39.6
male,group C,some college,standard,none,63,63,60,186,37.2
female,group E,associate's degree,standard,none,68,76,67,211,42.2
female,group B,bachelor's degree,standard,none,75,84,80,239,47.8
female,group D,bachelor's degree,standard,none,89,100,100,289,57.8
male,group C,some high school,standard,completed,78,72,69,219,43.8
female,group A,high school,free/reduced,completed,53,50,60,163,32.6
female,group D,some college,free/reduced,none,49,65,61,175,35.0
female,group A,some college,standard,none,54,63,67,184,36.8
female,group C,some college,standard,completed,64,82,77,223,44.6
male,group B,some college,free/reduced,completed,60,62,60,182,36.4
male,group C,associate's degree,standard,none,62,65,58,185,37.0
male,group D,high school,standard,completed,55,41,48,144,28.8
female,group C,associate's degree,standard,none,91,95,94,280,56.0
female,group B,high school,free/reduced,none,8,24,23,55,11.0
male,group D,some high school,standard,none,81,78,78,237,47.4
male,group B,some high school,standard,completed,79,85,86,250,50.0
female,group A,some college,standard,completed,78,87,91,256,51.2
female,group C,some high school,standard,none,74,75,82,231,46.2
male,group A,high school,standard,none,57,51,54,162,32.4
female,group C,associate's degree,standard,none,40,59,51,150,30.0
male,group E,some high school,standard,completed,81,75,76,232,46.4
female,group A,some high school,free/reduced,none,44,45,45,134,26.8
female,group D,some college,free/reduced,completed,67,86,83,236,47.2
male,group E,high school,free/reduced,completed,86,81,75,242,48.4
female,group B,some high school,standard,completed,65,82,78,225,45.0
female,group D,associate's degree,free/reduced,none,55,76,76,207,41.4
female,group D,bachelor's degree,free/reduced,none,62,72,74,208,41.6
